category,name,parent,body_md,source,tags
race,"Elf, Shadar-kai",Elf,"## Elf, Shadar-kai

*Medium | Speed 30 ft.*

**Ability Score Increases:** DEX +2, CON +1

### Racial Traits


**Creature Type.** You are a Humanoid. You are also considered an elf for any prerequisite or effect that requires you to be an elf.

**Blessing of the Raven Queen.** As a bonus action, you can magically teleport up to 30 feet to an unoccupied space you can see. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
Starting at 3rd level, you also gain resistance to all damage when you teleport using this trait. The resistance lasts until the start of your next turn. During that time, you appear ghostly and translucent.

**Darkvision.** You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.

**Fey Ancestry.** You have advantage on saving throws you make to avoid or end the charmed condition on yourself.

**Keen Senses.** You have proficiency in the Perception skill.

**Necrotic Resistance.** You have resistance to necrotic damage.

**Trance.** You don't need to sleep, and magic can't put you to sleep. You can finish a long rest in 4 hours if you spend those hours in a trancelike meditation, during which you retain consciousness.
Whenever you finish this trance, you can gain two proficiencies that you don't have, each one with a weapons or a tools of your choice selected from the Player's Handbook. You mystically acquire these proficiencies by drawing them from shared elven memory, and you retain them until you finish your next long rest.

**Languages:** Common

*Source: Mordenkainen's Tome of Foes*",Mordenkainen's Tome of Foes,race;medium;mtf
race,"Elf, Tajuru",Elf,"## Elf, Tajuru

*Medium | Speed 30 ft.*

**Ability Score Increases:** WIS +2, CHA +1

### Racial Traits


**Darkvision.** You have XPHB with a range of 60 feet.

**Elven Lineage.** You are part of a lineage that grants you supernatural abilities. Choose a lineage from the Elven Lineages table. You gain the level 1 benefit of that lineage.
When you reach character levels 3 and 5, you learn a higher-level spell, as shown on the table. You always have that spell prepared. You can cast it once without a spell slot, and you regain the ability to cast it in that way when you finish a Long Rest|XPHB. You can also cast the spell using any spell slots you have of the appropriate level.
Intelligence, Wisdom, or Charisma is your spellcasting ability for the spells you cast with this trait (choose the ability when you select the lineage).
*[Table: Elven Lineages]*
| Lineage | Level 1 | Level 3 | Level 5 |
|---|---|---|---|
| Drow | The range of your XPHB increases to 120 feet. You also know the XPHB cantrip. | XPHB | XPHB |
| High Elf | You know the XPHB cantrip. Whenever you finish a Long Rest|XPHB, you can replace that cantrip with a different cantrip from the Wizard spell list|spells|level=0|class=Wizard. | XPHB | XPHB |
| Wood Elf | Your Speed|XPHB increases to 35 feet. You also know the XPHB cantrip. | XPHB | XPHB |

**Fey Ancestry.** You have Advantage|XPHB on saving throws you make to avoid or end the XPHB condition.

**Keen Senses.** You have proficiency in the XPHB, XPHB, or XPHB skill.

**Trance.** You don't need to sleep, and magic can't put you to sleep. You can finish a Long Rest|XPHB in 4 hours if you spend those hours in a trancelike meditation, during which you retain consciousness.

**Languages:** Common

*Source: PS:Zendikar 19*",PS:Zendikar 19,race;medium;ps
race,"Elf, Tirahar",Elf,"## Elf, Tirahar

*Medium | Speed 30 ft.*

**Ability Score Increases:** DEX +2, WIS +1

### Racial Traits


**Darkvision.** You have XPHB with a range of 60 feet.

**Elven Lineage.** You are part of a lineage that grants you supernatural abilities. Choose a lineage from the Elven Lineages table. You gain the level 1 benefit of that lineage.
When you reach character levels 3 and 5, you learn a higher-level spell, as shown on the table. You always have that spell prepared. You can cast it once without a spell slot, and you regain the ability to cast it in that way when you finish a Long Rest|XPHB. You can also cast the spell using any spell slots you have of the appropriate level.
Intelligence, Wisdom, or Charisma is your spellcasting ability for the spells you cast with this trait (choose the ability when you select the lineage).
*[Table: Elven Lineages]*
| Lineage | Level 1 | Level 3 | Level 5 |
|---|---|---|---|
| Drow | The range of your XPHB increases to 120 feet. You also know the XPHB cantrip. | XPHB | XPHB |
| High Elf | You know the XPHB cantrip. Whenever you finish a Long Rest|XPHB, you can replace that cantrip with a different cantrip from the Wizard spell list|spells|level=0|class=Wizard. | XPHB | XPHB |
| Wood Elf | Your Speed|XPHB increases to 35 feet. You also know the XPHB cantrip. | XPHB | XPHB |

**Fey Ancestry.** You have Advantage|XPHB on saving throws you make to avoid or end the XPHB condition.

**Keen Senses.** You have proficiency in the XPHB, XPHB, or XPHB skill.

**Trance.** You don't need to sleep, and magic can't put you to sleep. You can finish a Long Rest|XPHB in 4 hours if you spend those hours in a trancelike meditation, during which you retain consciousness.

**Languages:** Common

*Source: PS:Kaladesh 20*",PS:Kaladesh 20,race;medium;ps
race,"Elf, Vadahar",Elf,"## Elf, Vadahar

*Medium | Speed 30 ft.*

**Ability Score Increases:** DEX +2, WIS +1

### Racial Traits


**Darkvision.** You have XPHB with a range of 60 feet.

**Elven Lineage.** You are part of a lineage that grants you supernatural abilities. Choose a lineage from the Elven Lineages table. You gain the level 1 benefit of that lineage.
When you reach character levels 3 and 5, you learn a higher-level spell, as shown on the table. You always have that spell prepared. You can cast it once without a spell slot, and you regain the ability to cast it in that way when you finish a Long Rest|XPHB. You can also cast the spell using any spell slots you have of the appropriate level.
Intelligence, Wisdom, or Charisma is your spellcasting ability for the spells you cast with this trait (choose the ability when you select the lineage).
*[Table: Elven Lineages]*
| Lineage | Level 1 | Level 3 | Level 5 |
|---|---|---|---|
| Drow | The range of your XPHB increases to 120 feet. You also know the XPHB cantrip. | XPHB | XPHB |
| High Elf | You know the XPHB cantrip. Whenever you finish a Long Rest|XPHB, you can replace that cantrip with a different cantrip from the Wizard spell list|spells|level=0|class=Wizard. | XPHB | XPHB |
| Wood Elf | Your Speed|XPHB increases to 35 feet. You also know the XPHB cantrip. | XPHB | XPHB |

**Fey Ancestry.** You have Advantage|XPHB on saving throws you make to avoid or end the XPHB condition.

**Keen Senses.** You have proficiency in the XPHB, XPHB, or XPHB skill.

**Trance.** You don't need to sleep, and magic can't put you to sleep. You can finish a Long Rest|XPHB in 4 hours if you spend those hours in a trancelike meditation, during which you retain consciousness.

**Languages:** Common

*Source: PS:Kaladesh 20*",PS:Kaladesh 20,race;medium;ps
race,"Elf, Wood",Elf,"## Elf, Wood

*Medium | Speed 30 ft.*

**Ability Score Increases:** DEX +2, WIS +1

### Racial Traits


**Darkvision.** You have XPHB with a range of 60 feet.

**Elven Lineage.** You are part of a lineage that grants you supernatural abilities. Choose a lineage from the Elven Lineages table. You gain the level 1 benefit of that lineage.
When you reach character levels 3 and 5, you learn a higher-level spell, as shown on the table. You always have that spell prepared. You can cast it once without a spell slot, and you regain the ability to cast it in that way when you finish a Long Rest|XPHB. You can also cast the spell using any spell slots you have of the appropriate level.
Intelligence, Wisdom, or Charisma is your spellcasting ability for the spells you cast with this trait (choose the ability when you select the lineage).
*[Table: Elven Lineages]*
| Lineage | Level 1 | Level 3 | Level 5 |
|---|---|---|---|
| Drow | The range of your XPHB increases to 120 feet. You also know the XPHB cantrip. | XPHB | XPHB |
| High Elf | You know the XPHB cantrip. Whenever you finish a Long Rest|XPHB, you can replace that cantrip with a different cantrip from the Wizard spell list|spells|level=0|class=Wizard. | XPHB | XPHB |
| Wood Elf | Your Speed|XPHB increases to 35 feet. You also know the XPHB cantrip. | XPHB | XPHB |

**Fey Ancestry.** You have Advantage|XPHB on saving throws you make to avoid or end the XPHB condition.

**Keen Senses.** You have proficiency in the XPHB, XPHB, or XPHB skill.

**Trance.** You don't need to sleep, and magic can't put you to sleep. You can finish a Long Rest|XPHB in 4 hours if you spend those hours in a trancelike meditation, during which you retain consciousness.

**Languages:** Common

*Source: Player's Handbook*",Player's Handbook,race;medium;phb
feat,Elven Accuracy,,"## Elven Accuracy

**Prerequisite:** Race: elf or half-elf

The accuracy of elves is legendary, especially that of elf archers and spellcasters. You have uncanny aim with attacks that rely on precision rather than brute force. You gain the following benefits:
- Whenever you have advantage on an attack roll using Dexterity, Intelligence, Wisdom, or Charisma, you can reroll one of the dice once.

*Source: XGE*",XGE,feat;xge
feat,Ember of the Fire Giant,,"## Ember of the Fire Giant

**Prerequisite:** None

You've manifested the fiery combat emblematic of fire giants, granting you the following benefits:
- **Born of Flame:** You have resistance to fire damage.
- **Searing Ignition:** When you take the Attack action on your turn, you can replace a single attack with a magical burst of flame. Each creature of your choice in a 15-foot-radius sphere centered on you must make a Dexterity saving throw (DC equals 8 + your proficiency bonus + the modifier of the ability increased by this feat). On a failed save, a creature takes fire damage equal to 1d8 + your proficiency bonus, and it has the blinded condition until the start of your next turn. On a successful save, the creature takes half as much damage only. You can use your Searing Ignition a number of times equal to your proficiency bonus (but no more than once per turn), and you regain all expended uses when you finish a long rest.

*Source: BGG*",BGG,feat;bgg
feat,Emerald Enclave Fledgling,,"## Emerald Enclave Fledgling

**Prerequisite:** None

You gain the following benefits.

**Speak with Animals.** You always have the XPHB spell prepared and can cast it with any spell slots you have. Intelligence, Wisdom, or Charisma is your spellcasting ability for this spell (choose when you select this feat). When you cast this spell as a Ritual|XPHB, its duration is 8 hours.

**Tag Team.** When you take the XPHB action, you can switch places with a willing ally within 5 feet of yourself as part of that same action. This movement doesn't provoke Opportunity Attacks. You can't use this benefit if the ally has the XPHB condition.

*Source: FRHoF*",FRHoF,feat;frhof
subclass,Enchantment,Wizard,"## Enchantment
*Wizard Subclass*


*Source: PHB*",PHB,subclass;wizard;phb
feat,Enclave Magic,,"## Enclave Magic

**Prerequisite:** None

You gain the following benefits.

**Friend to Animals.** You have Advantage|XPHB on ability checks when taking the XPHB action with Beasts.

**Two Hearts, One Mind.** You always have the XPHB spell prepared. You can cast it once without a spell slot, and you regain the ability to cast it in that way when you finish a Long Rest|XPHB. When you cast it without a spell slot using this feature, it doesn't require XPHB. You can also cast the spell using any spell slots you have of the appropriate level. The spell's spellcasting ability is the ability increased by this feat.

*Source: FRHoF*",FRHoF,feat;frhof
background,Entertainer,,"## Entertainer

**Skill Proficiencies:** Acrobatics, Performance
**Tool Proficiencies:** Disguise kit, musical instrument

- **Ability Scores::** 
- **Feat::** 
- **Skill Proficiencies::** 
- **Tool Proficiency::** 
- **Equipment::** 

*Source: PHB*",PHB,background;phb
subclass,Evocation,Wizard,"## Evocation
*Wizard Subclass*


*Source: PHB*",PHB,subclass;wizard;phb
background,Faction Agent,,"## Faction Agent

**Skill Proficiencies:** Insight, And choose 1: special
**Languages:** 2 of your choice

### Feature: Safe Haven

As a faction agent, you have access to a secret network of supporters and operatives who can provide assistance on your adventures. You know a set of secret signs and passwords you can use to identify such operatives, who can provide you with access to a hidden safe house, free room and board, or assistance in finding information. These agents never risk their lives for you or risk revealing their true identities.

*Source: SCAG*",SCAG,background;scag
feat,Fade Away,,"## Fade Away

**Prerequisite:** Race: gnome

Your people are clever, with a knack for illusion magic. You have learned a magical trick for fading away when you suffer harm. You gain the following benefits:
- Immediately after you take damage, you can use a reaction to magically become invisible until the end of your next turn or until you attack, deal damage, or force someone to make a saving throw. Once you use this ability, you can't do so again until you finish a short or long rest.

*Source: XGE*",XGE,feat;xge
feat,Fairy Trickster,,"## Fairy Trickster

**Prerequisite:** None

You gain the following benefits.

**Faerie Trod Trotter.** When you take the XPHB action on your turn, Difficult Terrain|XPHB doesn't cost you extra movement for the rest of that turn.

**Flustering Strike.** When you hit a creature with an attack roll, you can attempt to fluster the target. The target must succeed on a Wisdom saving throw (DC 8 plus the ability modifier of the score increased by this feat and your Proficiency|XPHB|Proficiency Bonus) or have Disadvantage|XPHB on saving throws until the end of your next turn.
You can use this benefit a number of times equal to your Proficiency|XPHB|Proficiency Bonus, and you regain all expended uses when you finish a Long Rest|XPHB.

*Source: FRHoF*",FRHoF,feat;frhof
background,Far Traveler,,"## Far Traveler

**Skill Proficiencies:** Insight, Perception
**Tool Proficiencies:** Choose 1: musical instrument , gaming set
**Languages:** 1 of your choice

### Feature: All Eyes on You

Your accent, mannerisms, figures of speech, and perhaps even your appearance all mark you as foreign. Curious glances are directed your way wherever you go, which can be a nuisance, but you also gain the friendly interest of scholars and others intrigued by far-off lands, to say nothing of everyday folk who are eager to hear stories of your homeland.
You can parley this attention into access to people and places you might not otherwise have, for you and your traveling companions. Noble lords, scholars, and merchant princes, to name a few, might be interested in hearing about your distant homeland and people.

*Source: SCAG*",SCAG,background;scag
feat,Fey Teleportation,,"## Fey Teleportation

**Prerequisite:** Race: elf

Your study of high elven lore has unlocked fey power that few other elves possess, except your eladrin cousins. Drawing on your fey ancestry, you can momentarily stride through the Feywild to shorten your path from one place to another. You gain the following benefits:
- You learn to speak, read, and write Sylvan.
- You learn the misty step spell and can cast it once without expending a spell slot. You regain the ability to cast it in this way when you finish a short or long rest. Intelligence is your spellcasting ability for this spell.

*Source: XGE*",XGE,feat;xge
feat,Fey Touched,,"## Fey Touched

**Prerequisite:** None

Your exposure to the Feywild's magic has changed you, granting you the following benefits:
- You learn the misty step spell and one 1st-level spell|spells|level=1|school=E;D of your choice. The 1st-level spell|spells|level=1|school=E;D must be from the divination or enchantment school of magic. You can cast each of these spells without expending a spell slot. Once you cast either of these spells in this way, you can't cast that spell in this way again until you finish a long rest. You can also cast these spells using spell slots you have of the appropriate level. The spells' spellcasting ability is the ability increased by this feat.

*Source: TCE*",TCE,feat;tce
feat,Fey-Touched,,"## Fey-Touched

**Prerequisite:** None

Your exposure to the Feywild's magic grants you the following benefits.

**Fey Magic.** Choose one level 1 spell from the Divination or Enchantment|spells|level=1|school=E;D school of magic. You always have that spell and the XPHB spell prepared. You can cast each of these spells without expending a spell slot. Once you cast either spell in this way, you can't cast that spell in this way again until you finish a Long Rest|XPHB. You can also cast these spells using spell slots you have of the appropriate level. The spells' spellcasting ability is the ability increased by this feat.

*Source: XPHB*",XPHB,feat;xphb
subclass,Fiend,Warlock,"## Fiend
*Warlock Subclass*


*Source: PHB*",PHB,subclass;warlock;phb
class,Fighter,,"# Fighter

**Hit Dice:** 1d8 per Fighter level  
**Hit Points at 1st Level:** 8 + your Constitution modifier  
**Hit Points at Higher Levels:** 1d8 (or 5) + your Constitution modifier per level after 1st

### Proficiencies


### Class Features",Player's Handbook,class;fighter
feat,Fighting Initiate,,"## Fighting Initiate

**Prerequisite:** Proficiency with martial

Your martial training has helped you develop a particular style of fighting. As a result, you learn one Fighting Style|optionalfeatures|Feature Type=FS:F option of your choice from the fighter class. If you already have a style, the one you choose must be different.
Whenever you reach a level that grants the Ability Score Improvement feature, you can replace this feat's fighting style with another one from the fighter class that you don't have.

*Source: TCE*",TCE,feat;tce
race,Firbolg,,"## Firbolg

*Medium | Speed 30 ft.*

**Ability Score Increases:** STR +1, WIS +2

### Racial Traits


**Age.** As humanoids related to the fey, firbolg have long lifespans. A firbolg reaches adulthood around 30, and the oldest of them can live for 500 years.

**Size.** Firbolg are between 7 and 8 feet tall and weigh between 240 and 300 pounds. Your size is Medium.

**Firbolg Magic.** You can cast detect magic and disguise self with this trait, using Wisdom as your spellcasting ability for them. Once you cast either spell, you can't cast it again with this trait until you finish a short or long rest. When you use this version of disguise self, you can seem up to 3 feet shorter than normal, allowing you to more easily blend in with humans and elves.

**Hidden Step.** As a bonus action, you can magically turn invisible until the start of your next turn or until you attack, make a damage roll, or force someone to make a saving throw. Once you use this trait, you can't use it again until you finish a short or long rest.

**Powerful Build.** You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.

**Speech of Beast and Leaf.** You have the ability to communicate in a limited manner with beasts and plants. They can understand the meaning of your words, though you have no special ability to understand them in return. You have advantage on all Charisma checks you make to influence them.

**Languages.** You can speak, read, and write Common, Elvish, and Giant.

**Languages:** Common

*Source: Volo's Guide to Monsters*",Volo's Guide to Monsters,race;medium;vgm
feat,Flames of Phlegethos,,"## Flames of Phlegethos

**Prerequisite:** Race: tiefling

You learn to call on hellfire to serve your commands. You gain the following benefits:
- When you roll fire damage for a spell you cast, you can reroll any roll of 1 on the fire damage dice, but you must use the new roll, even if it is another 1.
- Whenever you cast a spell that deals fire damage, you can cause flames to wreathe you until the end of your next turn. The flames don't harm you or your possessions, and they shed bright light out to 30 feet and dim light for an additional 30 feet. While the flames are present, any creature within 5 feet of you that hits you with a melee attack takes 1d4 fire damage.

*Source: XGE*",XGE,feat;xge
background,Folk Hero,,"## Folk Hero

**Skill Proficiencies:** Animal handling, Survival
**Tool Proficiencies:** Artisan's tools , vehicles (land)

### Feature: Rustic Hospitality

Since you come from the ranks of the common folk, you fit in among them with ease. You can find a place to hide, rest, or recuperate among other commoners, unless you have shown yourself to be a danger to them. They will shield you from the law or anyone else searching for you, though they will not risk their lives for you.

*Source: PHB*",PHB,background;phb
subclass,Forge,Cleric,"## Forge
*Cleric Subclass*


*Source: XGE*",XGE,subclass;cleric;xge
subclass,Four Elements,Monk,"## Four Elements
*Monk Subclass*


*Source: PHB*",PHB,subclass;monk;phb
feat,Fury of the Frost Giant,,"## Fury of the Frost Giant

**Prerequisite:** None

You've manifested the icy might emblematic of frost giants, granting you the following benefits:
- **Born of Ice:** You have resistance to cold damage.
- **Frigid Retaliation:** Immediately after a creature you can see within 30 feet of you hits you with an attack roll and deals damage, you can use your reaction to retaliate with a conjured blast of ice. The creature must make a Constitution saving throw (DC equals 8 + your proficiency bonus + the modifier of the ability increased by this feat). On a failed save, the creature takes cold damage equal to 1d8 + your proficiency bonus, and its speed is reduced to 0 until the end of its next turn. You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.

*Source: BGG*",BGG,feat;bgg
subclass,G.O.O.,Warlock,"## G.O.O.
*Warlock Subclass*


*Source: PHB*",PHB,subclass;warlock;phb
background,Gate Urchin,,"## Gate Urchin

**Skill Proficiencies:** Deception, Sleight of hand
**Tool Proficiencies:** Musical instrument , thieves' tools

*Source: RoD(AL)*",RoD(AL),background;rod
feat,Gathered Whispers,,"## Gathered Whispers

**Prerequisite:** None

You are haunted by a cacophony of whispering spirits only you can hear. You gain the following features.

**Spirit Whispers.** You learn the XPHB spell and can cast it without Material components. Additionally, you always have the XPHB spell prepared. You can cast it without a spell slot or spell components, and you must finish a Long Rest|XPHB before you can cast it in this way again. You can also cast the spell using any spell slots you have.
Intelligence, Wisdom, or Charisma is your spellcasting ability for this benefit (choose when you select this feat).

**Unearthly Scream.** When you are hit by an attack roll, you can take a Reaction|XPHB to channel your haunting spirits into a protective, otherworldly scream. You can add your Proficiency|XPHB|Proficiency Bonus to your AC against that attack, potentially causing it to miss. You can use this benefit a number of times equal to your Proficiency|XPHB|Proficiency Bonus, and you regain all expended uses when you finish a Long Rest|XPHB.

**Voices from Beyond.** Immediately after you make a D20 Test|XPHB and roll a 1 on the d20, the haunting voices rise to a ghastly volume. Make a Wisdom saving throw (DC 13 plus your Proficiency|XPHB|Proficiency Bonus). On a failed save, you have the XPHB condition until the end of your next turn. While XPHB, you have Disadvantage|XPHB on ability checks and attack rolls.

*Source: RHW*",RHW,feat;rhw
race,"Genasi, Air",Genasi,"## Genasi, Air

*Medium | Speed 30 ft.*

**Ability Score Increases:** DEX +1, CON +2

### Racial Traits


**Size.** You are Medium or Small. You choose the size when you select this race.

**Darkvision.** You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.

**Languages:** Common

*Source: Elemental Evil Player's Companion*",Elemental Evil Player's Companion,race;medium;elemental
race,"Genasi, Earth",Genasi,"## Genasi, Earth

*Medium | Speed 30 ft.*

**Ability Score Increases:** STR +1, CON +2

### Racial Traits


**Size.** You are Medium or Small. You choose the size when you select this race.

**Darkvision.** You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.

**Languages:** Common

*Source: Elemental Evil Player's Companion*",Elemental Evil Player's Companion,race;medium;elemental
race,"Genasi, Fire",Genasi,"## Genasi, Fire

*Medium | Speed 30 ft.*

**Ability Score Increases:** CON +2, INT +1

### Racial Traits


**Size.** You are Medium or Small. You choose the size when you select this race.

**Darkvision.** You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.

**Languages:** Common

*Source: Elemental Evil Player's Companion*",Elemental Evil Player's Companion,race;medium;elemental
race,"Genasi, Water",Genasi,"## Genasi, Water

*Medium | Speed 30 ft.*

**Ability Score Increases:** CON +2, WIS +1

### Racial Traits


**Size.** You are Medium or Small. You choose the size when you select this race.

**Darkvision.** You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.

**Languages:** Common

*Source: Elemental Evil Player's Companion*",Elemental Evil Player's Companion,race;medium;elemental
feat,Genie Magic,,"## Genie Magic

**Prerequisite:** None

You gain the following benefits.

**Wish Magic.** As a XPHB action, you can cast a level 1 spell of your choice from the Sorcerer spell list|spells|level=1|class=Sorcerer that has a casting time of an action. Once you use this benefit, you can't do so again until you finish a Long Rest|XPHB. The spell's spellcasting ability is the ability increased by this feat.
When you reach level 11, the spell you cast with this feat is cast as though using a level 2 spell slot.
When you reach level 17, the spell is cast as though using a level 3 spell slot.

*Source: FRHoF*",FRHoF,feat;frhof
subclass,Ghost in the Machine,Warlock,"## Ghost in the Machine
*Warlock Subclass*


*Source: UA:MM*",UA:MM,subclass;warlock;ua
feat,Gift of the Chromatic Dragon,,"## Gift of the Chromatic Dragon

**Prerequisite:** None

You've manifested some of the power of chromatic dragons, granting you the following benefits:
- **Chromatic Infusion:** As a bonus action, you can touch a simple or martial weapon|items|source=phb|category=basic|type=martial weapon;simple weapon and infuse it with one of the following damage types: acid, cold, fire, lightning, or poison. For the next minute, the weapon deals an extra 1d4 damage of the chosen type when it hits. After you use this bonus action, you can't do so again until you finish a long rest.
- **Reactive Resistance:** When you take acid, cold, fire, lightning, or poison damage, you can use your reaction to give yourself resistance to that instance of damage. You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.

*Source: FTD*",FTD,feat;ftd
feat,Gift of the Gem Dragon,,"## Gift of the Gem Dragon

**Prerequisite:** None

You've manifested some of the power of gem dragons, granting you the following benefits:
- **Telekinetic Reprisal:** When you take damage from a creature that is within 10 feet of you, you can use your reaction to emanate telekinetic energy. The creature that dealt damage to you must make a Strength saving throw (DC equals 8 + your proficiency bonus + the ability modifier of the score increased by this feat). On a failed save, the creature takes 2d8 force damage and is pushed up to 10 feet away from you. On a successful save, the creature takes half as much damage and isn't pushed. You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.

*Source: FTD*",FTD,feat;ftd
feat,Gift of the Metallic Dragon,,"## Gift of the Metallic Dragon

**Prerequisite:** None

You've manifested some of the power of metallic dragons, granting you the following benefits:
- **Draconic Healing:** You learn the cure wounds spell. You can cast this spell without expending a spell slot. Once you cast this spell in this way, you can't do so again until you finish a long rest. You can also cast this spell using spell slots you have. The spell's spellcasting ability is Intelligence, Wisdom, or Charisma when you cast it with this feat (choose when you gain the feat).
- **Protective Wings:** You can manifest protective wings that can shield you or others. When you or another creature you can see within 5 feet of you is hit by an attack roll, you can use your reaction to manifest spectral wings from your back for a moment. You grant a bonus to the target's AC equal to your proficiency bonus against that attack roll, potentially causing it to miss. You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.

*Source: FTD*",FTD,feat;ftd
race,"Gith, Githyanki",Gith,"## Gith, Githyanki

*Medium | Speed 30 ft.*

**Ability Score Increases:** STR +2, INT +1

### Racial Traits


**Astral Knowledge.** You can mystically access a reservoir of experiences of entities connected to the Astral Plane. Whenever you finish a long rest, you gain proficiency in one skill of your choice and with one weapon or tool of your choice, selected from the Player's Handbook, as you momentarily project your consciousness into the Astral Plane. These proficiencies last until the end of your next long rest.

**Githyanki Psionics.** You know the mage hand cantrip, and the hand is invisible when you cast the cantrip with this trait.
Starting at 3rd level, you can cast the jump spell with this trait. Starting at 5th level, you can also cast misty step with it. Once you cast jump or misty step with this trait, you can't cast that spell with it again until you finish a long rest. You can also cast either of those spells using any spell slots you have of the appropriate level.
Intelligence, Wisdom, or Charisma is your spellcasting ability for these spells when you cast them with this trait (choose when you select this race). None of these spells require spell components when you cast them with this trait.

**Psychic Resilience.** You have resistance to psychic damage.

**Languages:** Common

*Source: Mordenkainen's Tome of Foes*",Mordenkainen's Tome of Foes,race;medium;mtf
race,"Gith, Githzerai",Gith,"## Gith, Githzerai

*Medium | Speed 30 ft.*

**Ability Score Increases:** INT +1, WIS +2

### Racial Traits


**Githzerai Psionics.** You know the mage hand cantrip, and the hand is invisible when you cast the cantrip with this trait.
Starting at 3rd level, you can cast the shield spell with this trait. Starting at 5th level, you can also cast the detect thoughts spell with it. Once you cast shield or detect thoughts spell with this trait, you can't cast that spell with it again until you finish a long rest. You can also cast either of those spells using any spell slots you have of the appropriate level.
Intelligence, Wisdom, or Charisma is your spellcasting ability for these spells when you cast them with this trait (choose when you select this race). None of these spells require spell components when you cast them with this trait.

**Mental Discipline.** Your innate psychic defenses grant you advantage on saving throws you make to avoid or end the charmed and frightened conditions on yourself.

**Psychic Resilience.** You have resistance to psychic damage.

**Languages:** Common

*Source: Mordenkainen's Tome of Foes*",Mordenkainen's Tome of Foes,race;medium;mtf
subclass,Glamour,Bard,"## Glamour
*Bard Subclass*


*Source: XGE*",XGE,subclass;bard;xge
subclass,Gloom Stalker,Ranger,"## Gloom Stalker
*Ranger Subclass*


*Source: XGE*",XGE,subclass;ranger;xge
race,"Gnome, Deep",Gnome,"## Gnome, Deep

*Small | Speed 30 ft.*

**Ability Score Increases:** DEX +1, INT +2

### Racial Traits


**Creature Type.** You are a Humanoid. You are also considered a gnome for any prerequisite or effect that requires you to be a gnome.

**Darkvision.** You can see in dim light within 120 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.

**Gift of the Svirfneblin.** Starting at 3rd level, you can cast the disguise self spell with this trait. Starting at 5th level, you can also cast the nondetection spell with it, without requiring a material component. Once you cast either of these spells with this trait, you can't cast that spell with it again until you finish a long rest. You can also cast these using spell slots you have of the appropriate level.
Intelligence, Wisdom, or Charisma is your spellcasting ability for these spells when you cast them with this trait (choose when you select this race).

**Gnomish Magic Resistance.** You have advantage on Intelligence, Wisdom, and Charisma saving throws against spells.

**Svirfneblin Camouflage.** When you make a Dexterity (Stealth) check, you can make the check with advantage. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.

**Languages:** Common

*Source: Elemental Evil Player's Companion*",Elemental Evil Player's Companion,race;small;elemental
race,"Gnome, Forest",Gnome,"## Gnome, Forest

*Small | Speed 30 ft.*

**Ability Score Increases:** DEX +1, INT +2

### Racial Traits


**Darkvision.** You have XPHB with a range of 60 feet.

**Gnomish Cunning.** You have Advantage|XPHB on Intelligence, Wisdom, and Charisma saving throws.

**Gnomish Lineage.** You are part of a lineage that grants you supernatural abilities. Choose one of the following options; whichever one you choose, Intelligence, Wisdom, or Charisma is your spellcasting ability for the spells you cast with this trait (choose the ability when you select the lineage):
- **Forest Gnome:** You know the XPHB cantrip. You also always have the XPHB spell prepared. You can cast it without a spell slot a number of times equal to your Proficiency|XPHB|Proficiency Bonus, and you regain all expended uses when you finish a Long Rest|XPHB. You can also use any spell slots you have to cast the spell.
- **Rock Gnome:** You know the XPHB and XPHB cantrips. In addition, you can spend 10 minutes casting XPHB to create a Tiny clockwork device (AC 5, 1 HP), such as a toy, fire starter, or music box. When you create the device, you determine its function by choosing one effect from XPHB; the device produces that effect whenever you or another creature takes a Bonus Action|XPHB to activate it with a touch. If the chosen effect has options within it, you choose one of those options for the device when you create it. For example, if you choose the spell's ignite-extinguish effect, you determine whether the device ignites or extinguishes fire; the device doesn't do both. You can have three such devices in existence at a time, and each falls apart 8 hours after its creation or when you dismantle it with a touch as a XPHB action.

**Languages:** Common

*Source: Player's Handbook*",Player's Handbook,race;small;phb
