name,item_type,rarity,requires_attunement,attunement_requirement,description,mechanical_effect,charges,source_campaign,tags
Empty Vial,Other,Common,0,,"An empty vial, just waiting to be filled with something more valuable than itself.",,,,other;magic-item
Essence of Ether,Poison,Uncommon,0,,A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become poisoned for 8 hours. The poisoned creature is unconscious. The creature wakes up if it takes damage or if another creature takes an action to shake it awake.,,,,poison;magic-item
Eversmoking Bottle,Wondrous Item,Uncommon,0,,"Smoke leaks from the lead-stoppered mouth of this brass bottle, which weighs 1 pound. When you use an action to remove the stopper, a cloud of thick smoke pours out in a 60-­foot radius from the bottle. The cloud's area is heavily obscured. Each minute the bottle remains open and within the cloud, the radius increases by 10 feet until it reaches its maximum radius of 120 feet.
The cloud persists as long as the bottle is open. Closing the bottle requires you to speak its Command Word as an action. Once the bottle is closed, the cloud disperses after 10 minutes. A moderate wind (11 to 20 miles per hour) can also disperse the smoke after 1 minute, and a strong wind (21 or more miles per hour) can do so after 1 round.",,,,wondrous item;magic-item
Eyes of Charming,Wondrous Item,Uncommon,1,requires attunement,"These crystal lenses fit over the eyes. They have 3 charges. While wearing them, you can expend 1 charge as an action to cast the charm person spell (save DC 13) on a humanoid within 30 feet of you, provided that you and the target can see each other. The lenses regain all expended charges daily at dawn.",,,,wondrous item;magic-item
Eyes of Minute Seeing,Wondrous Item,Uncommon,0,,"These crystal lenses fit over the eyes. While wearing them, you can see much better than normal out to a range of 1 foot. You have advantage on Intelligence (Investigation) checks that rely on sight while searching an area or studying an object within that range.",,,,wondrous item;magic-item
Eyes of the Eagle,Wondrous Item,Uncommon,1,requires attunement,"These crystal lenses fit over the eyes. While wearing them, you have advantage on Wisdom (Perception) checks that rely on sight. In conditions of clear visibility, you can make out details of even extremely distant creatures and objects as small as 2 feet across.",,,,wondrous item;magic-item
Fat Cat Statue,Other,Common,0,,"A life sized copper statue of a fat cat with amber eyes that purrs when stroked. Curiously, it does not detect as magic.",,,,other;magic-item
Feather Token Anchor,Wondrous Item,Rare,0,,"This tiny object looks like a feather. Different types of feather tokens exist, each with a different single-use effect.

Effect of this token:
You can use an action to touch the token to a boat or ship. For the next 24 hours, the vessel can't be moved by any means. Touching the token to the vessel again ends the effect. When the effect ends, the token disappears.",,,,wondrous item;magic-item
Feather Token Bird,Wondrous Item,Rare,0,,"This tiny object looks like a feather. Different types of feather tokens exist, each with a different single-use effect.

Effect of this token:
You can use an action to toss the token 5 feet into the air. The token disappears and an enormous, multicolored bird takes its place. The bird has the Statistics of a roc, but it obeys your simple commands and can't Attack. It can carry up to 500 pounds while flying at its maximum speed (16 miles an hour for a maximum of 144 miles per day, with a one-hour rest for every 3 hours of flying), or 1,000 pounds at half that speed. The bird disappears after flying its maximum distance for a day or if it drops to 0 Hit Points. You can dismiss the bird as an action.",,,,wondrous item;magic-item
Feather Token Fan,Wondrous Item,Rare,0,,"This tiny object looks like a feather. Different types of feather tokens exist, each with a different single-use effect.

Effect of this token:
If you are on a boat or ship, you can use an action to toss the token up to 10 feet in the air. The token disappears, and a giant flapping fan takes its place. The fan floats and creates a wind strong enough to fill the sails of one ship, increasing its speed by 5 miles per hour for 8 hours. You can dismiss the fan as an action.",,,,wondrous item;magic-item
Feather Token Swan Boat,Wondrous Item,Rare,0,,"This tiny object looks like a feather. Different types of feather tokens exist, each with a different single-use effect.

Effect of this token:
You can use an action to touch the token to a body of water at least 60 feet in diameter. The token disappears, and a 50-foot-long, 20-foot-wide boat shaped like a swan takes its place. The boat is self-propelled and moves across water at a speed of 6 miles per hour. You can use an action while on the boat to Command it to move or to turn up to 90 degrees. The boat can carry up to thirty-two Medium or smaller creatures. A Large creature counts as four Medium creatures, while a Huge creature counts as nine. The boat remains for 24 hours and then disappears. You can dismiss the boat as an action.",,,,wondrous item;magic-item
Feather Token Whip,Wondrous Item,Rare,0,,"This tiny object looks like a feather. Different types of feather tokens exist, each with a different single-use effect.

Effect of this token:
You can use an action to throw the token to a point within 10 feet of you. The token disappears, and a floating whip takes its place. You can then use a Bonus Action to make a melee spell Attack against a creature within 10 feet of the whip, with an Attack bonus of +9. On a hit, the target takes 1d6 + 5 force damage.
As a Bonus Action on Your Turn, you can direct the whip to fly up to 20 feet and repeat the Attack against a creature within 10 feet of it. The whip disappears after 1 hour, when you use an action to dismiss it, or when you are incapacitated or die.",,,,wondrous item;magic-item
Fine Cheese,Other,Common,0,,"A 5’ diameter wheel of fine, aged cheese",,,,other;magic-item
Fishing Tackle,Adventuring Gear,Common,0,,"This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting.",,,,adventuring gear;magic-item
Flail,Martial Melee,Common,0,,"**Damage:** 1d8  
**Cost:** 10 gp",,,,martial melee;weapon
Flame Tongue Dagger,Simple Melee,Uncommon,1,,"**Damage:** 1d4  
**Properties:** finesse, light, thrown (range 20/60)  
**Cost:** 5000 gp","You can use a bonus action to speak this magic dagger's command word, causing flames to erupt from the blade. These flames shed bright light in a 40-foot radius and dim light for an additional 40 feet. While the dagger is ablaze, it deals an extra 2d6 fire damage to any target it hits. The flames last until you use a bonus action to speak the command word again or until you drop or sheathe the dagger. Requires attunement.",,,simple melee;weapon
Flask,Adventuring Gear,Common,0,,Capacity: 1 pint liquid,,,,adventuring gear;magic-item
Flesh Shield,Other,Common,0,,A small wooden shield bound in human skin bearing a tattoo that appears to be some sort of map. The skin is held in place with a rim of beaten copper.,,,,other;magic-item
Flint & Steel,Other,Common,0,,A carved steel striker and a piece of shaped flint that allows the user to start a fire.,,,,other;magic-item
Flute,Tool,Common,0,,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",,,,tool;magic-item
Folding Boat,Wondrous Item,Rare,0,,"This object appears as a wooden box that measures 12 inches long, 6 inches wide, and 6 inches deep. It weighs 4 pounds and floats. It can be opened to store items inside. This item also has three command words, each requiring you to use an action to speak it. One command word causes the box to unfold into a boat 10 feet long, 4 feet wide, and 2 feet deep. The boat has one pair of oars, an anchor, a mast, and a lateen sail. The boat can hold up to four Medium creatures comfortably. The second command word causes the box to unfold into a ship 24 feet long, 8 feet wide, and 6 feet deep. The ship has a deck, rowing seats, five sets of oars, a steering oar, an anchor, a deck cabin, and a mast with a square sail. The ship can hold fifteen Medium creatures comfortably. When the box becomes a vessel, its weight becomes that of a normal vessel its size, and anything that was stored in the box remains in the boat. The third command word causes the folding boat to fold back into a box, provided that no creatures are aboard. Any objects in the vessel that can't fit inside the box remain outside the box as it folds. Any objects in the vessel that can fit inside the box do so.",,,,wondrous item;magic-item
Fool's Gold,Other,Common,0,,"A handheld water pan with a number of chunks of pyrite in it, otherwise known as ""Fool's Gold"". You might be able to convince someone that these nuggets are real gold, but not for very long.",,,,other;magic-item
Forgery Kit,Tool,Common,0,,"This small box contains a variety of papers and parchments, pens and inks, seals and sealing wax, gold and silver leaf, and other supplies necessary to create convincing forgeries of physical documents. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a physical forgery of a document.",,,,tool;magic-item
Fragrant Torches,Other,Common,0,,"A bag containing 1d8 torches infused with pleasant fragrances. This may have been owned by a tanner, to cover the overwhelming stench of tannin that is used in the leathermaking process.",,,,other;magic-item
Frost Brand Greatsword,Martial Melee,Uncommon,1,,"**Damage:** 2d6  
**Properties:** heavy, two-handed  
**Cost:** 2200 gp","When you hit with an attack using this magic sword, the target takes an extra 1d6 cold damage. In addition, while you hold the sword, you have resistance to fire damage. In freezing temperatures, the blade sheds bright light in a 10-foot radius and dim light for an additional 10 feet. When you draw this weapon, you can extinguish all nonmagical flames within 30 feet of you. This property can be used no more than once per hour. Requires attunement.",,,martial melee;weapon
Gauntlets of Ogre Power,Wondrous Item,Uncommon,1,requires attunement,Your Strength score is 19 while you wear these gauntlets. They have no effect on you if your Strength is already 19 or higher.,,,,wondrous item;magic-item
Gem of Brightness,Wondrous Item,Uncommon,0,,"This prism has 50 charges. While you are holding it, you can use an action to speak one of three command words to cause one of the following effects:The first command word causes the gem to shed bright light in a 30-foot radius and dim light for an additional 30 feet. This effect doesn't expend a charge. It lasts until you use a bonus action to repeat the command word or until you use another function of the gem.
The second command word expends 1 charge and causes the gem to fire a brilliant beam of light at one creature you can see within 60 feet of you. The creature must succeed on a DC 15 Constitution saving throw or become blinded for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.
The third command word expends 5 charges and causes the gem to flare with blinding light in a 30-foot cone originating from it. Each creature in the cone must make a saving throw as if struck by the beam created with the second command word. When all of the gem's charges are expended, the gem becomes a nonmagical jewel worth 50 gp.",,50,,wondrous item;magic-item
Gem of Seeing,Wondrous Item,Rare,1,requires attunement,"This gem has 3 charges. As an action, you can speak the gem's command word and expend 1 charge. For the next 10 minutes, you have truesight out to 120 feet when you peer through the gem. The gem regains 1d3 expended charges daily at dawn.",,3,,wondrous item;magic-item
Giant Slayer Battleaxe,Martial Melee,Uncommon,0,,"**Damage:** 1d8  
**Properties:** versatile (1d10)  
**Cost:** 7000 gp","You gain a +1 bonus to attack and damage rolls made with this magic weapon. When you hit a giant with it, the giant takes an extra 2d6 damage of the weapon's type and must succeed on a DC 15 Strength saving throw or fall prone. For the purpose of this weapon, ""giant"" refers to any creature with the giant type, including ettins and trolls.",,,martial melee;weapon
Glaive,Martial Melee,Common,0,,"**Damage:** 1d10  
**Properties:** heavy, reach, two-handed  
**Cost:** 20 gp",,,,martial melee;weapon
Glamoured Studded Leather,Armor,Rare,0,,"While wearing this armor, you gain a +1 bonus to AC. You can also use a bonus action to speak the armor's command word and cause the armor to assume the appearance of a normal set of clothing or some other kind of armor. You decide what it looks like, including color, style, and accessories, but the armor retains its normal bulk and weight. The illusory appearance lasts until you use this property again or remove the armor.",,,,armor;magic-item
Glass Shards,Other,Common,0,,"A few, not very sharp glass shards.",,,,other;magic-item
Glass Sphere,Other,Common,0,,A 14 inch diameter sealed glass sphere containing water and an ornamental fish.,,,,other;magic-item
Glassblower's tools,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Glittering Glass,Other,Common,0,,A sparkling handful of raw gems.,,,,other;magic-item
Gloves of Missile Snaring,Wondrous Item,Uncommon,1,requires attunement,"These gloves seem to almost meld into your hands when you don them. When a ranged weapon attack hits you while you're wearing them, you can use your reaction to reduce the damage by 1d10 + your Dexterity modifier, provided that you have a free hand. If you reduce the damage to 0, you can catch the missile if it is small enough for you to hold in that hand.",,,,wondrous item;magic-item
Gloves of Swimming and Climbing,Wondrous Item,Uncommon,1,requires attunement,"While wearing these gloves, climbing and swimming don't cost you extra movement, and you gain a +5 bonus to Strength (Athletics) checks made to climb or swim.",,,,wondrous item;magic-item
Glow Stone,Other,Common,0,,A small green stone that gives off a feint light that's practically imperceptable in anything other than pitch black darkness. It could be used as a marker or a light source in a pinch.,,,,other;magic-item
Goggles of Night,Wondrous Item,Uncommon,0,,"While wearing these dark lenses, you have darkvision out to a range of 60 feet. If you already have darkvision, wearing the goggles increases its range by 60 feet.",,,,wondrous item;magic-item
Gold Bracelet,Other,Common,0,,A small gold bracelet. It's design is plain so as to be appropriate for anyone.,,,,other;magic-item
Gold Locket,Other,Common,0,,A charming golden locket with a painted portrait inside.,,,,other;magic-item
Golden Lion,Wondrous Item,Rare,0,,"A figurine of wondrous power is a statuette of a beast small enough to fit in a pocket. If you use an action to speak the command word and throw the figurine to a point on the ground within 60 feet of you, the figurine becomes a living creature. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature.

The creature is friendly to you and your companions. It understands your languages and obeys your spoken commands. If you issue no commands, the creature defends itself but takes no other actions.

The creature exists for a duration specific to each figurine. At the end of the duration, the creature reverts to its figurine form. It reverts to a figurine early if it drops to 0 hit points or if you use an action to speak the command word again while touching it. When the creature becomes a figurine again, its property can't be used again until a certain amount of time has passed, as specified in the figurine's description.

Golden Lions. These gold statuettes of lions are always created in pairs. You can use one figurine or both simultaneously. Each can become a lion for up to 1 hour. Once a lion has been used, it can't be used again until 7 days have passed.",,,,wondrous item;magic-item
Grappling Hook,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Greataxe,Martial Melee,Common,0,,"**Damage:** 1d12  
**Properties:** heavy, two-handed  
**Cost:** 30 gp",,,,martial melee;weapon
Greatclub,Simple Melee,Common,0,,"**Damage:** 1d8  
**Properties:** two-handed  
**Cost:** 0.2 gp",,,,simple melee;weapon
Greatsword,Martial Melee,Common,0,,"**Damage:** 2d6  
**Properties:** heavy, two-handed  
**Cost:** 50 gp",,,,martial melee;weapon
Greatsword of Life-Stealing,Martial Melee,Uncommon,1,,"**Damage:** 2d6  
**Properties:** heavy, two-handed  
**Cost:** 1000 gp","When you attack a creature with this magic weapon and roll a 20 on the attack roll, that target takes an extra 3d6 necrotic damage, provided that the target isn't a construct or an undead. You gain temporary hit points equal to the extra damage dealt. Requires attunement.",,,martial melee;weapon
Greatsword of Sharpness,Martial Melee,Uncommon,1,,"**Damage:** 2d6  
**Cost:** 1700 gp","When you attack an object with this magic sword and hit, maximize your weapon damage dice against the target. When you attack a creature with this weapon and roll a 20 on the attack roll, that target takes an extra 4d6 slashing damage. Then roll another d20. If you roll a 20, you lop off one of the target's limbs, with the effect of such loss determined by the GM. If the creature has no limb to sever, you lop off a portion of its body instead. In addition, you can speak the sword's command word to cause the blade to shed bright light in a 10-foot radius and dim light for an additional 10 feet. Speaking the command word again or sheathing the sword puts out the light. Requires attunement.",,,martial melee;weapon
Halberd,Martial Melee,Common,0,,"**Damage:** 1d10  
**Properties:** heavy, reach, two-handed  
**Cost:** 20 gp",,,,martial melee;weapon
Half Plate,Armor,Common,0,,Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.,,,,armor;magic-item
Hammer,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Hammer of Thunderbolts,Martial Melee,Very Rare,1,,"**Damage:** 2d6  
**Properties:** heavy, two-handed  
**Cost:** 16000 gp","You gain a +1 bonus to attack and damage rolls made with this magic weapon.
Giant's Bane (Requires Attunement): You must be wearing a belt of giant strength (any variety) and gauntlets of ogre power** to attune to this weapon. The attunement ends if you take off either of those items. While you are attuned to this weapon and holding it, your Strength score increases by 4 and can exceed 20, but not 30. When you roll a 20 on an attack roll made with this weapon against a giant, the giant must succeed on a DC 17 Constitution saving throw or die.
The hammer also has 5 charges. While attuned to it, you can expend 1 charge and make a ranged weapon attack with the hammer, hurling it as if it had the thrown property with a normal range of 20 feet and a long range of 60 feet. If the attack hits, the hammer unleashes a thunderclap audible out to 300 feet. The target and every creature within 30 feet of it must succeed on a DC 17 Constitution saving throw or be stunned until the end of your next turn. The hammer regains 1d4 + 1 expended charges daily at dawn.",5,,martial melee;weapon
"Hammer, Sledge",Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Hand Crossbow,Martial Ranged,Common,0,,"**Damage:** 1d6  
**Properties:** ammunition (range 30/120), light, loading  
**Cost:** 75 gp",,,,martial ranged;weapon
Handaxe,Simple Melee,Common,0,,"**Damage:** 1d6  
**Properties:** light, thrown (range 20/60)  
**Cost:** 5 gp",,,,simple melee;weapon
Handy Haversack,Wondrous Item,Rare,0,,"This backpack has a central pouch and two side pouches, each of which is an extradimensional space. Each side pouch can hold up to 20 pounds of material, not exceeding a volume of 2 cubic feet. The large central pouch can hold up to 8 cubic feet or 80 pounds of material. The backpack always weighs 5 pounds, regardless of its contents. Placing an object in the haversack follows the normal rules for interacting with objects. Retrieving an item from the haversack requires you to use an action. When you reach into the haversack for a specific item, the item is always magically on top.",,,,wondrous item;magic-item
Hat of Disguise,Wondrous Item,Uncommon,1,requires attunement,"While wearing this hat, you can use an action to cast the disguise self spell from it at will. The spell ends if the hat is removed.",,,,wondrous item;magic-item
Headband of Intellect,Wondrous Item,Uncommon,1,requires attunement,Your Intelligence score is 19 while you wear this headband. It has no effect on you if your Intelligence is already 19 or higher.,,,,wondrous item;magic-item
Healer's Kit,Adventuring Gear,Common,0,,"This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check.",,,,adventuring gear;magic-item
Heavy Crossbow,Martial Ranged,Common,0,,"**Damage:** 1d10  
**Properties:** ammunition (range 100/400), heavy, loading, two-handed  
**Cost:** 50 gp",,,,martial ranged;weapon
Helm of Comprehending Languages,Wondrous Item,Uncommon,0,,"While wearing this helm, you can use an action to cast the comprehend languages spell from it at will.",,,,wondrous item;magic-item
Helm of Telepathy,Wondrous Item,Uncommon,1,requires attunement,"While wearing this helm, you can use an action to cast the detect thoughts spell (save DC 13) from it. As long as you maintain concentration on the spell, you can use a bonus action to send a telepathic message to a creature you are focused on. It can reply—using a bonus action to do so—while your focus on it continues. While focusing on a creature with detect thoughts, you can use an action to cast the suggestion spell (save DC 13) from the helm on that creature. Once used, the suggestion property can't be used again until the next dawn.",,,,wondrous item;magic-item
Helm of Teleportation,Wondrous Item,Rare,1,requires attunement,"This helm has 3 charges. While wearing it, you can use an action and expend 1 charge to cast the teleport spell from it. The helm regains 1d3 expended charges daily at dawn.",,3,,wondrous item;magic-item
Hematite,Other,Common,0,,A rather dull gray-black hematite gem with the remains of a necklace fasten on its back.,,,,other;magic-item
Herbalism kit,Tool,Common,0,,"This kit contains a variety of instruments such as clippers, mortar and pestle, and pouches and vials used by herbalists to create remedies and potions. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to identify or apply herbs. Also, proficiency with this kit is required to create antitoxin and potions of healing.",,,,tool;magic-item
Hide,Armor,Common,0,,"This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor.",,,,armor;magic-item
Holy Avenger Greatsword,Martial Melee,Legendary,1,,"**Damage:** 2d6  
**Properties:** heavy, two-handed  
**Cost:** 165000 gp","You gain a +3 bonus to attack and damage rolls made with this magic weapon. When you hit a fiend or an undead with it, that creature takes an extra 2d10 radiant damage. While you hold the drawn sword, it creates an aura in a 10-foot radius around you. You and all creatures friendly to you in the aura have advantage on saving throws against spells and other magical effects. If you have 17 or more levels in the paladin class, the radius of the aura increases to 30 feet. Requires attunement.",,,martial melee;weapon
Holy Ice Symbol,Other,Common,0,,"An ornate block of ice carved into an ancient holy symbol. The carving has a subtle taint of magic to it, but it's not exactly clear what prevents it from melting.",,,,other;magic-item
Holy Symbol,Other,Common,0,,A wooden holy symbol.,,,,other;magic-item
"Holy Symbol, Amulet",Adventuring Gear,Common,0,,"A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. Appendix PH-B ""Fantasy-Historical Pantheons"" lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.",,,,adventuring gear;magic-item
"Holy Symbol, Emblem",Adventuring Gear,Common,0,,"A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. Appendix PH-B ""Fantasy-Historical Pantheons"" lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.",,,,adventuring gear;magic-item
"Holy Symbol, Reliquary",Adventuring Gear,Common,0,,"A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. Appendix PH-B ""Fantasy-Historical Pantheons"" lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.",,,,adventuring gear;magic-item
Holy Water (flask),Adventuring Gear,Common,0,,"As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon. If the target is a fiend or undead, it takes 2d6 radiant damage.  A cleric or paladin may create holy water by performing a special ritual. The ritual takes 1 hour to perform, uses 25 gp worth of powdered silver, and requires the caster to expend a 1st-level spell slot.",,,,adventuring gear;magic-item
Honey,Other,Common,0,,A quart of honey.,,,,other;magic-item
Horn,Tool,Common,0,,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",,,,tool;magic-item
Horn of Blasting,Wondrous Item,Rare,0,,"You can use an action to speak the horn's command word and then blow the horn, which emits a thunderous blast in a 30-foot cone that is audible 600 feet away. Each creature in the cone must make a DC 15 Constitution saving throw. On a failed save, a creature takes 5d6 thunder damage and is deafened for 1 minute. On a successful save, a creature takes half as much damage and isn't deafened. Creatures and objects made of glass or crystal have disadvantage on the saving throw and take 10d6 thunder damage instead of 5d6.
Each use of the horn's magic has a 20 percent chance of causing the horn to explode. The explosion deals 10d6 fire damage to the blower and destroys the horn.",,,,wondrous item;magic-item
Horseshoes of Speed,Wondrous Item,Rare,0,,"These iron horseshoes come in a set of four. While all four shoes are affixed to the hooves of a horse or similar creature, they increase the creature's walking speed by 30 feet.",,,,wondrous item;magic-item
Horseshoes of a Zephyr,Wondrous Item,Very Rare,0,,"These iron horseshoes come in a set of four. While all four shoes are affixed to the hooves of a horse or similar creature, they allow the creature to move normally while floating 4 inches above the ground. This effect means the creature can cross or stand above nonsolid or unstable surfaces, such as water or lava. The creature leaves no tracks and ignores difficult terrain. In addition, the creature can move at normal speed for up to 12 hours a day without suffering exhaustion from a forced march.",,,,wondrous item;magic-item
Hourglass,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Hunting Trap,Adventuring Gear,Common,0,,"When you use your action to set it, this trap forms a saw-toothed steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 piercing damage and stop moving. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet long). A creature can use its action to make a DC 13 Strength check, freeing itself or another creature within its reach on a success. Each failed check deals 1 piercing damage to the trapped creature.",,,,adventuring gear;magic-item
Immovable Rod,Wondrous Item,Uncommon,0,,"This flat iron rod has a button on one end. You can use an action to press the button, which causes the rod to become magically fixed in place. Until you or another creature uses an action to push the button again, the rod doesn't move, even if it is defying gravity. The rod can hold up to 8,000 pounds of weight. More weight causes the rod to deactivate and fall. A creature can use an action to make a DC 30 Strength check, moving the fixed rod up to 10 feet on a success.",,,,wondrous item;magic-item
Inhalation Herbs & Essences,Other,Common,0,,"Inhalation herbs & essences provide natural healing remedies for all manner of symptoms such as headaches, colds and flu.",,,,other;magic-item
Ink (1 ounce bottle),Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Ink Pen,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Instant Fortress,Wondrous Item,Rare,0,,"You can use an action to place this 1-inch metal cube on the ground and speak its command word. The cube rapidly grows into a fortress that remains until you use an action to speak the command word that dismisses it, which works only if the fortress is empty.",,,,wondrous item;magic-item
Ioun Stone of Absorption,Wondrous Item,Very Rare,1,requires attunement,"An Ioun stone is named after Ioun, a god of knowledge and prophecy revered on some worlds. Many types of Ioun stone exist, each type a distinct combination of shape and color.

When you use an action to toss one of these stones into the air, the stone orbits your head at a distance of 1d3 feet and confers a benefit to you. Thereafter, another creature must use an action to grasp or net the stone to separate it from you, either by making a successful attack roll against AC 24 or a successful DC 24 Dexterity (Acrobatics) check. You can use an action to seize and stow the stone, ending its effect.

A stone has AC 24, 10 hit points, and resistance to all damage. It is considered to be an object that is being worn while it orbits your head.

Effect for this Ioun Stone: While this pale lavender ellipsoid orbits your head, you can use your reaction to cancel a spell of 4th level or lower cast by a creature you can see and targeting only you.",,,,wondrous item;magic-item
Ioun Stone of Agility,Wondrous Item,Very Rare,1,requires attunement,"An Ioun stone is named after Ioun, a god of knowledge and prophecy revered on some worlds. Many types of Ioun stone exist, each type a distinct combination of shape and color.

When you use an action to toss one of these stones into the air, the stone orbits your head at a distance of 1d3 feet and confers a benefit to you. Thereafter, another creature must use an action to grasp or net the stone to separate it from you, either by making a successful attack roll against AC 24 or a successful DC 24 Dexterity (Acrobatics) check. You can use an action to seize and stow the stone, ending its effect.

A stone has AC 24, 10 hit points, and resistance to all damage. It is considered to be an object that is being worn while it orbits your head.

Effect for this Ioun Stone: Your Dexterity score increases by 2, to a maximum of 20, while this deep red sphere orbits your head.",,,,wondrous item;magic-item
Ioun Stone of Awareness,Wondrous Item,Rare,1,requires attunement,"An Ioun stone is named after Ioun, a god of knowledge and prophecy revered on some worlds. Many types of Ioun stone exist, each type a distinct combination of shape and color.

When you use an action to toss one of these stones into the air, the stone orbits your head at a distance of 1d3 feet and confers a benefit to you. Thereafter, another creature must use an action to grasp or net the stone to separate it from you, either by making a successful attack roll against AC 24 or a successful DC 24 Dexterity (Acrobatics) check. You can use an action to seize and stow the stone, ending its effect.

A stone has AC 24, 10 hit points, and resistance to all damage. It is considered to be an object that is being worn while it orbits your head.

Effect for this Ioun Stone: You can't be surprised while this dark blue rhomboid orbits your head.",,,,wondrous item;magic-item
Ioun Stone of Fortitude,Wondrous Item,Very Rare,1,requires attunement,"An Ioun stone is named after Ioun, a god of knowledge and prophecy revered on some worlds. Many types of Ioun stone exist, each type a distinct combination of shape and color.

When you use an action to toss one of these stones into the air, the stone orbits your head at a distance of 1d3 feet and confers a benefit to you. Thereafter, another creature must use an action to grasp or net the stone to separate it from you, either by making a successful attack roll against AC 24 or a successful DC 24 Dexterity (Acrobatics) check. You can use an action to seize and stow the stone, ending its effect.

A stone has AC 24, 10 hit points, and resistance to all damage. It is considered to be an object that is being worn while it orbits your head.

Effect for this Ioun Stone: Your Constitution score increases by 2, to a maximum of 20, while this pink rhomboid orbits your head.",,,,wondrous item;magic-item
Ioun Stone of Greater Absorption,Wondrous Item,Legendary,1,requires attunement,"An Ioun stone is named after Ioun, a god of knowledge and prophecy revered on some worlds. Many types of Ioun stone exist, each type a distinct combination of shape and color.

When you use an action to toss one of these stones into the air, the stone orbits your head at a distance of 1d3 feet and confers a benefit to you. Thereafter, another creature must use an action to grasp or net the stone to separate it from you, either by making a successful attack roll against AC 24 or a successful DC 24 Dexterity (Acrobatics) check. You can use an action to seize and stow the stone, ending its effect.

A stone has AC 24, 10 hit points, and resistance to all damage. It is considered to be an object that is being worn while it orbits your head.

Effect for this Ioun Stone: While this marbled lavender and green ellipsoid orbits your head, you can use your reaction to cancel a spell of 8th level or lower cast by a creature you can see and targeting only you.

Once the stone has canceled 50 levels of spells, it burns out and turns dull gray, losing its magic. If you are targeted by a spell whose level is higher than the number of spell levels the stone has left, the stone can't cancel it.",,,,wondrous item;magic-item
